temperatura interna,temperatura externa
33.99,25.61
33.9,25.27
33.9,25.37
34.27,25.46
34.14,25.29
33.84,24.99
34.25,24.88
34.25,24.84
34.12,24.86
33.84,25.03
34.12,24.96
34.07,24.77
33.88,24.17
34.18,24.6
34.2,24.66
34.05,24.45
34.14,24.28
34.29,24.66
33.97,25.12
33.88,25.59
33.95,25.93
34.22,26.64
33.86,27.26
34.1,27.87
33.86,28.29
34.25,29.73
34.31,30.44
34.63,32.59
34.65,32.91
34.61,32.68
34.68,32.27
34.57,32.7
34.29,33.15
34.59,32.31
34.4,33.24
34.59,33.37
34.65,32.44
34.76,31.09
34.38,28.85
34.14,27.78
34.27,27.76
34.38,26.98
34.12,26.53
34.18,26.64
34.4,25.85
34.25,25.85
34.18,25.74
34.1,25.09
34.29,25.05
34.25,24.64
34.2,24.38
34.46,23.76
34.18,24.38
34.27,23.98
33.97,23.85
34.16,23.61
33.67,23.68
34.12,23.14
34.07,22.84
34.05,22.84
34.29,22.71
33.9,23.01
34.14,23.07
33.9,23.48
34.38,24.06
33.99,25.01
33.95,25.54
34.25,26.4
34.65,27.37
34.2,27.97
34.38,29.58
34.44,29.56
34.4,30.51
34.48,32.16
34.78,31.82
34.96,32.21
34.61,32.59
35.08,32.42
35.02,32.79
35.02,32.94
35.08,32.7
34.83,33.52
34.85,31.2
34.63,30.12
34.22,29.18
34.53,29.03
34.55,26.62
34.55,27.24
34.4,27.03
34.18,26.73
33.88,26.49
34.48,26.1
34.29,26.25
34.22,25.76
34.18,25.46
34.35,25.33
34.05,25.67
34.31,25.35
34.76,25.01
34.59,25.18
34.22,25.48
34.53,25.24
34.44,25.24
34.18,24.51
34.25,24.71
34.18,24.23
34.16,23.33
34.12,23.57
34.35,23.48
34.29,23.33
34.03,23.53
34.1,24.34
33.99,25.03
34.27,25.63
34.22,26.49
34.2,27.5
34.5,30.62
34.46,30.46
34.68,31.75
34.78,31.84
34.93,33.75
35.11,33.54
35.08,32.94
34.87,32.89
35,33.15
34.85,32.63
34.91,32.29
34.91,33.3
34.83,32.33
34.5,31.73
34.65,30.4
34.4,29.28
34.65,28.49
34.68,27.61
34.46,26.86
34.5,26.77
34.38,26.34
34.59,26.19
34.44,25.42
34.29,25.97
34.44,25.5
34.48,25.33
34.33,25.52
34.22,25.72
34.25,25.8
34.4,24.86
34.2,25.57
34.55,25.29
34.35,25.2
34.16,25.16
34.5,25.16
34.33,25.05
34.14,25.01
34.35,24.51
34.22,24.66
34.22,24.38
34.46,24.58
34.2,24.62
33.99,24.86
34.22,25.54
34.25,25.78
34.22,26.19
34.27,26.94
34.1,27.82
34.42,28.87
34.65,30.68
34.53,31.71
34.65,33.26
34.96,34.29
34.98,33.6
35.06,33.24
34.46,33.11
34.8,32.66
34.59,32.59
34.57,33.19
34.72,32.74
34.25,31.52
34.44,30.51
34.48,29.54
34.31,27.59
34.55,26.6
34.29,26.38
34.22,26.1
34.44,26.02
34.4,26.1
34.33,24.94
34.22,24.84
34.16,24.64
34.29,24.28
34.25,24.13
34.33,22.43
34.31,22.47
34.16,23.12
34.14,22.86
34.07,22.34
34.33,22.6
33.79,22.34
33.99,22.37
34.01,21.74
34.14,21.74
34.07,21.12
34.2,20.58
34.01,21.14
33.92,20.95
33.88,21.12
33.69,21.55
34.01,22.56
33.92,23.27
34.01,24.32
34.07,25.57
34.33,26.77
34.2,27.87
34.72,29.41
34.61,31.52
34.93,32.51
35.13,34.05
35.17,34.68
35,34.53
34.87,33.41
34.91,33.79
34.76,33.41
34.7,33.32
35,33.97
34.74,32.72
34.59,32.36
34.98,30.72
34.48,28.75
34.44,27.59
34.33,27.76
34.53,27.71
34.46,26.96
34.55,26.79
34.27,26.68
34.2,26.9
34.31,25.91
34.33,26.1
34.16,25.93
34.16,25.74
34.38,25.57
34.48,25.37
34.2,24.96
34.33,24.88
34.18,23.98
34.2,23.7
34.33,23.53
34.12,23.42
34.1,23.4
34.27,22.97
34.25,22.73
34.1,22.47
33.69,22.02
34.12,22.06
34.12,22.15
34.33,22.73
34.07,23.57
34.1,24.49
34.16,25.03
34.29,25.89
34.25,27.35
34.42,28.29
34.25,30.19
34.68,31.56
34.74,32.53
35.13,34.65
35.02,33.9
35.19,33.52
35.17,33.86
35.21,33.32
34.74,33.13
35.02,32.81
34.87,33
34.76,32.36
34.89,31.32
